vote_id;vote_date;question;issue;title;yeas;nays
00119;06-Jul;On Cloture on the Motion to Proceed;S. 3100;Motion to Invoke Cloture on the Motion to Proceed to S. 3100, A bill to ensure that State and local law enforcement may cooperate with Federal officials to protect our communities from violent criminals and suspected terrorists who are illegally present in the United States.;53;44
00118;06-Jul;On the Nomination;PN575;Confirmation Brian R. Martinotti, of New Jersey, to be United States District Judge;92;5
00117;29-Jun;On the Motion;S. 764;Motion to Lay Before the Senate a Message From the House to Accompany S. 764, A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;68;29
00116;29-Jun;On the Motion;S. 2328;Motion to Concur in the House Amendment to S. 2328, A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;68;30
00115;29-Jun;On the Motion;S. 2328;Motion to Waive All Applicable Budgetary Discipline Re: the Motion to Concur in the House Amdt. to S. 2328, A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;85;13
00114;29-Jun;On the Motion to Table;S. 2328;Motion to Table the Motion to Concur in the House Amendment with Amendment No. 4865 to S. 2328, A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;44;54
00113;29-Jun;On the Cloture Motion;S. 2328;Motion to Invoke Cloture on the Motion to Concur in the House Amendment to S. 2328, A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.;68;32
00112;28-Jun;On the Cloture Motion;H.R. 2577;Motion to Invoke Cloture on the Conference Report to Accompany H.R. 2577, A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;52;48
00111;27-Jun;On the Nomination;PN576;Confirmation Robert F. Rossiter, Jr., of Nebraska, to be U.S. District Judge for the District of Nebraska;90;0
00110;23-Jun;On the Motion to Table;H.R. 2578;Motion to Table Johnson Amdt. No. 4859, To authorize the Attorney General to delay or deny the transfer of firearms and explosives and issuance of Federal firearms and explosives licenses and permits to known or suspected terrorists.;67;31
00109;23-Jun;On the Motion to Table;H.R. 2578;Motion to Table the Motion to Commit H.R. 2578 with Instructions (Amdt. No. 4858), A bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2016, and for other purposes.;46;52
00108;22-Jun;On the Cloture Motion;H.R. 2578;Motion to Invoke Cloture on Amdt. No. 4787, To amend section 2709 of title 18, United States Code, to clarify that the Government may obtain a specified set of electronic communication transactional records under that section, and to make permanent the authority for individual terrorists to be treated as agents of foreign powers under the Foreign Intelligence Surveillance Act of 1978.;58;38
00107;20-Jun;On the Motion to Table;H.R. 2578;Motion to Table the Motion to Commit with Instructions, A bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2016, and for other purposes.;56;42
00106;20-Jun;On the Cloture Motion;H.R. 2578;Motion to Invoke Cloture on Amdt. No. 4720, To authorize the Attorney General to deny requests to transfer a firearm to known or suspected terrorists.;47;53
00105;20-Jun;On the Cloture Motion;H.R. 2578;Motion to Invoke Cloture on Amdt. No. 4749, To Secure our Homeland from radical Islamists by Enhancing Law enforcement Detection ("SHIELD").;53;47
00104;20-Jun;On the Cloture Motion;H.R. 2578;Motion to Invoke Cloture on the Motion to Commit H.R. 2578 with instructions (Amdt. No. 4750), A bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2016, and for other purposes.;44;56
00103;20-Jun;On the Cloture Motion;H.R. 2578;Motion to Invoke Cloture on Amdt. No. 4751, To address gun violence and improve the availability of records to the National Instant Criminal Background Check System.;53;47
00102;16-Jun;On the Motion;S. 524;Whitehouse Motion to Instruct Conferees to S. 524, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;70;24
00101;16-Jun;On the Motion;S. 524;Shaheen Motion to Instruct Conferees to S. 524, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;66;29
